url,companyName,state,city
http://www.abgroup.us.com,A&B Transport,LA,Sulphur
http://www.ajweigand.com,"A.J. Weigand, Inc.",OH,Bolivar
http://www.action-resources.com,"Action Resources, Inc.",AL,Birmingham
http://www.awe.lynden.com,Alaska West Express,AK,Anchorage
http://www.allchemtransport.com,All Chemical Transport Corp.,NJ,Lakewood
http://www.propanetransport.com,AmeriGas Propane LP dba Propane Transport International,TX,Houston
http://www.andrewslogistics.com,Andrews Logistics Texas LP,TX,Southlake
http://www.ankrumtrucking.com,"Ankrum Trucking, Inc",MT,Billings
,,Peotone,Apolis Transport Inc.
http://www.apccorporate.com,"Associated Petroleum Carriers, Inc.",SC,Spartanburg
http://www.atlanticbulk.com,Atlantic Bulk Carrier Corp.,VA,Providence Fge
,,,
http://www.b-b.ca,B & B Transport Inc.,QB,St-Hyacinthe
http://www.bjceciltrucking.com,"B. J. Cecil Trucking, Inc.",AZ,Claypool
,,Roosevelt,"Basin Western, Inc."
http://www.bayandbay.com,Bay & Bay Transportation,MN,Burnsville
http://www.besstanklines.com,"Bess Tank Lines, Ltd.",AB,Calgary
http://www.blfe.com,Blue Flash Express LLC,LA,Zachary
http://www.borktransport.com,Bork Transport of IL,IL,Summit
,,Wenona,Breckenridge Trucking Inc
,,Revere,"Brewer Petroleum Service, Inc."
http://www.bridgelandterminals.com,Bridgeland Terminals Ltd.,ON,Elmira
http://www.bulktransit.com,Bulk Transit Corp.,OH,Plain City
http://www.bulk-dti.com,Bulk Transportation,CA,Walnut
,,City,Company
,,Stockton,California Tank Lines Inc.
,,Odessa,Car-Cat Transport
http://www.carbonexpress.com,"Carbon Express, Inc.",NJ,Wharton
http://www.chemsouthtransport.com,Chemical South Transport Inc.,GA,Savannah
,,Claysburg,"CLI Transport, LP"
http://www.viessmantrucking.com,"Cliff Viessman, Inc.",SD,Gary
,,Ansonia,Coastal Carriers of Connecticut
http://www.coastaltransport.net,"Coastal Transport Co., Inc.",TX,San Antonio
http://www.cti-bulk.com,"Commercial Transport, Inc.",IL,Belleville
http://www.coxpetroleum.com,Cox Petroleum Transport,CA,Bakersfield
http://www.crowley.com,CPD Alaska LLC/Crowley Petroleum Dist.,AK,Anchorage
http://www.containerport.com,CPG - Bilk,OH,Cleveland
http://www.crestwoodtransportation.com,Crestwood Transportation LLC,MO,Kansas City
http://www.crossettinc.com,"Crossett, Inc.",PA,Warren
http://www.ctltransportation.com,"CTL Transportation, LLC",FL,Auburndale
,,City,Company
,,E Providence,"D.J. Cronin, Inc."
http://www.danacompanies.com,"Dana Transport, Inc.",NJ,Avenel
http://www.delawareexpress.com,Delaware Express Company,MD,Elkton
http://www.frankthompsontransport.com,Delek,TN,Brentwood
,,Delco,Dew Transport Co.
,,Gardner,Dibble Trucking Inc.
http://www.dieseltransportation.com,"Diesel Transport, Inc.",PA,Windber
http://www.dilliontransport.com,"Dillon Logistics, Inc.",IL,Burr Ridge
,,Newcastle,Dixon Bros. Inc.
http://www.duprelogistics.com,"Dupre' Logistics, LLC",LA,Lafayette
,,City,Company
http://www.wysontrucking.com,E.J. Wyson Trucking Inc.,MA,Westminster
http://www.eagletransportcorp.com,Eagle Transport Corp.,NC,Rocky Mount
http://www.ee-jay.com,"Ee-Jay Motor Transports, Inc.",IL,East St. Louis
http://www.eldredgeco.com,Eldredge  Inc.,PA,West Chester
http://www.elliotttruckline.com,"Elliott Truck Line, Inc.",OK,Vinita
http://www.enterprisetransport.com,Enterprise Logistic Services LLC dba Enterprise Transportation Company,TX,Houston
http://www.ergontrucking.com,Ergon Trucking Inc.,MS,Jackson
,,City,Company
http://www.firstchoicelogistics.com,"First Choice Logistics, Inc.",IL,Chicago
http://www.firstclasstrans.com,First Class Transport,OH,Strasburg
http://www.fleenorbros.com,Fleenor Bros. Ent. Ltd.,MO,Duenweg
http://www.fleettransit.com,Fleet Transit Inc.,MD,Baltimore
http://www.floridarockandtanklines.com,"Florida Rock & Tank Lines, Inc.",FL,Jacksonville
http://www.foodliner.com,"Foodliner, Inc.",IA,Dubuque
http://www.fortransfer.com,Fort Transfer Co.,IL,Morton
http://www.freeholdcartage.com,"Freehold Cartage, Inc.",NJ,Freehold
http://www.frontierlogistics.com,Frontier Transport NA LP,TX,Morgans Point
,,City,Company
http://www.loves.com/Default.asxp?TabID=80,Gemini Motor Transport,OK,Oklahoma City
http://www.genoxtransportation.com,Genox Transportation,TX,Deer Park
http://www.georgiatanklines.com,"Georgia Tank Lines, LLC",GA,Doraville
,,Stillman Valley,"Glendenning Brothers, Inc."
http://www.glstransport.com,"GLS Transport, Inc.",IL,Bedford
http://www.gorskibulk.com,Gorski Bulk Transport Inc.,ON,Oldcastle
http://www.grammerindustries.com,Grammer Industries Inc.,IN,Columbus
,,Alma,Great Lakes Petroleum
,,Eldora,Greenbelt Transport
http://www.groendyke.com,"Groendyke Transport, Inc.",OK,Enid
,,City,Company
http://www.hobouchard.com,"H.O. Bouchard, Inc.",ME,Hampden
,,New Market,"Hahn Transportation, Inc."
http://www.harmactransport.com,Harmac Transportation Inc.,ON,North York
,,Aberdeen,Harms Oil Company
http://www.harmspacific.com,Harms Pacific Transport Inc.,WA,Pasco
http://www.haroldmarcus.com,Harold Marcus Ltd.,ON,Bothwell
http://www.hazmatinc.com,"Hazmat Environmental Group, Inc.",NY,Lackawanna
http://www.heniff.com,"Heniff Transportation Systems, LLC",IL,Oak Brook
http://www.herc.net,"Hercules Transport, Inc.",LA,Choudrant
http://www.hrewell.com,"Herman R. Ewell, Inc.",PA,East Earl
http://www.hytt.com,Highway Transport Chemical LLC,TN,Knoxville
http://www.hoffmantransportation.com,"Hoffman Transportation LLC/ G & D Trucking, Inc.",IL,Channahon
http://www.hoffmeier.com,"Hoffmeier, Inc.",OK,Tulsa
,,City,Company
,,Salisbury,Intercoastal Transport Company
http://www.ilctx.com,"International Liquid Carriers of Texas, LLC",TX,Laredo
http://www.islandtrans.com,Island Transportation Corp.,NY,West Babylon
,,Ankeny,ITL
,,City,Company
http://www.jmtank.com,"J & M Tank Lines, Inc.",AL,Birmingham
http://www.jandstrans.com,"J & S Transport Co., Inc.",MA,Lynn
http://www.jmtransports.com,"J-M Transports, Inc.",IL,Millington
http://www.johnsrudtransport.com,Johnsrud Transport Inc.,IA,Des Moines
http://www.jonesoilco.com,Jones Truck & Equipment LLC,KY,Pikeville
,,City,Company
http://www.k-ltd.com,"K-Limited Carrier, Ltd.",OH,Toledo
http://www.kanetransport.com,"Kane Transport, Inc.",MN,Sauk Centre
http://www.kemirawatersolutions.com,"Kemira Logistics, Inc.",IN,East Chicago
http://www.kjtrucking.com,Ken Johnson Trucking Ltd.,BC,Langley
http://www.thekag.com,Kenan Advantage Group,OH,North Canton
